金陵十三钗,https://movie.douban.com/subject/3649049/,金陵十三钗,金陵十三钗,2012,https://img3.doubanio.com/view/photo/photo/public/p1322247572.jpg,张艺谋,刘恒/严歌苓,克里斯蒂安·贝尔/倪妮/张歆怡/黄天元/韩熙庭/张逗逗/佟大为/曹可凡/渡部笃郎/黄海波/窦骁/聂远/高虎/秦昊/李玥敏/白雪/袁杨纯子/孙佳/朱良奇/小林成男/山中崇/保罗·施耐德,剧情/历史/战争,,中国大陆 / 香港,汉语普通话 / 英语 / 日语 / 南京话 / 上海话,2011-12-15(中国大陆)/2011-12-23(美国),145分钟,The Flowers Of War,http://www.imdb.com/title/tt1410063,8.0,275895,30.1%,44.8%,20.8%,3.0%,1.4%,69% 战争片/76% 历史片,1937年，日军入侵南京，战火中，六朝古都化为废墟，众多中国军民被困城中。一支十数人的国军德械教导队余部在长官李教官（佟大为 饰）指挥下，从日军手中救出了一批教会学校女学生，而李教官等人，至此丧失了出城的机会。幸免于难的书娟（张歆怡 饰）等学生返回文彻斯特教堂，随她们一 起来到的，还有受雇远道至此收敛神父遗体的美国人约翰·米勒（克里斯蒂安·贝尔 Christian Bale 饰）。此时的南京城中，逃难的人们蜂拥进安全区和教堂寻找庇护，十四名风尘女子强行进入教堂避难，其中精通英语的玉墨（倪妮 饰）希望借助约翰的身份为一行人提供更多保护。教堂的墙壁，并不能阻挡日军的铁蹄，教堂内的人们，将面临孰生孰死的选择……,13,698,这个杀手不太冷/霸王别姬/忠犬八公的故事/猩球崛起/海上钢琴师/让子弹飞/少年派的奇幻漂流/触不可及/唐山大地震/战马,102501,战争/南京/人性/中国/女权/历史/温情/剧情,2962,336322,23673,9,5161,570,
源代码,https://movie.douban.com/subject/3075287/,源代码,源代码SourceCode,2012,https://img3.doubanio.com/view/photo/photo/public/p988260245.jpg,邓肯·琼斯,本·雷普利,杰克·吉伦哈尔/维拉·法米加/米歇尔·莫纳汉/杰弗里·怀特/拉塞尔·皮特斯/詹姆斯·A·伍兹/迈克尔·阿登/乔·柯布登/卡斯·安瓦尔,剧情/动作/科幻/惊悚/犯罪,,美国 / 加拿大,英语,2011-08-30(中国大陆)/2011-03-11(西南偏南电影节)/2011-04-01(美国),93分钟,启动原始码(台) / 危机解密(港),http://www.imdb.com/title/tt0945513,8.3,342344,33.4%,49.7%,15.8%,1.0%,0.2%,93% 科幻片/84% 剧情片,在阿富汗执行任务的美国空军飞行员科特史蒂文斯上尉（杰克·吉伦哈尔 Jake Gyllenhaal 饰）突然惊醒，发现自己在一辆高速行驶的列车上，而他的身边坐着一个素不相识的女子克里斯蒂安（米歇尔·莫娜汉 Michelle Monaghan 饰）正在与自己讲话。科尔不知自己为什么会在这辆车上，而且他发现自己居然是以另一个人的身份存在，正当他迷惑不解的时候，列车上忽然发生爆炸……,,665,盗梦空间/致命魔术/蝴蝶效应/黑客帝国/星际穿越/明日边缘/月球/阿凡达/楚门的世界/猩球崛起,97673,科幻/美国/悬疑/剧情/2011/人性/动作/惊悚,6772,429489,48891,27,2114,330,
不明身份,https://movie.douban.com/subject/3614963/,不明身份,不明身份Unknown,2012,https://img3.doubanio.com/view/photo/photo/public/p726152647.jpg,佐米·希尔拉,Oliver Butcher/Stephen Cornwell,连姆·尼森/黛安·克鲁格/詹纽瑞·琼斯/弗兰克·兰格拉/艾丹·奎因/塞巴斯蒂安·科赫/佩特拉·施密特-夏勒/卡尔·马克维斯/布鲁诺·甘茨,剧情/悬疑/惊悚,http://www.unknownmovie.co.uk,美国 / 英国 / 德国 / 法国,英语,2011-11-01(中国大陆)/2011-02-18(美国),113分钟,无名杀机(港) / 狙击陌生人(台) / 神秘白种男子(台) / 未知 / 陌生的白种男人 / 不明身份的白人男性 / 未知白人男性,http://www.imdb.com/title/tt1401152,7.0,33930,7.8%,39.1%,47.8%,4.9%,0.4%,52% 悬疑片/30% 剧情片,马丁·哈里斯博士（连姆·尼森 Liam Neeson 饰）到柏林参加学术交流，却不幸遭遇了一场车祸，昏迷中醒来的他发现自己整个人生都被偷走了，妻子伊丽莎白（詹纽瑞·琼斯 January Jones 饰）不再认识他，而另一个人（艾丹·奎因 Aidan Quinn 饰）  取代了他的身份，成了哈里斯博士，光明正大出现在学术会议里，似乎所有人都认为那才是真正的哈里斯博士，令马丁十分迷惑。没有人相信马丁的说辞，柏林当地警署对他的申诉置若罔闻，又似乎有人开始追杀他。异国他乡，举目无亲，身陷险境，是人们的记忆被偷走了？还是自己脑袋出了问题？又或者背后有惊天阴谋？马丁走投无路之时，一个神秘女人吉娜（戴安·克鲁格 Diane Kruger 饰）出现了，似乎能帮他找到事情的真相……,,246,空中营救/危情三日/藏身之所/窗台上的男人/生死狙击/特工绍特/全面回忆/碟中谍4/鹰眼/机械师,10124,悬疑/美国/动作/2011/剧情/惊悚/犯罪/德国,634,41458,9513,2,145,35,
变形金刚3,https://movie.douban.com/subject/3610047/,变形金刚3,变形金刚3Transformers:DarkoftheMoon,2012,https://img3.doubanio.com/view/photo/photo/public/p1056093671.jpg,迈克尔·贝,伊伦·克鲁格,希亚·拉博夫/罗茜·汉丁顿-惠特莉/乔什·杜哈明/泰瑞斯·吉布森/约翰·马尔科维奇/弗兰西斯·麦克多蒙德/肯·郑/凯文·杜恩/朱丽叶·怀特/帕特里克·德姆西/艾伦·图代克,动作/科幻,http://www.transformersmovie.com,美国,英语 / 西班牙语 / 俄语 / 荷兰语,2011-07-21(中国大陆)/2011-06-29(美国),154分钟,,http://www.imdb.com/title/tt1399103,7.1,192132,13.4%,37.5%,40.3%,7.1%,1.7%,61% 科幻片/64% 动作片,距今50多年前，一艘来自赛博坦的飞船坠落月球，由此引发了美苏两国的太空竞赛。人类争相登上月球，只为一探飞船残骸中的秘密。时间回到21世纪初，经过几番征战，汽车人终于挫败霸天虎的入侵，继而与人类合作，共同保卫美丽的地球。然而发生在切尔诺贝利的事件却将尘封已久的月球计划重新摆到桌面。为了防止霸天虎找到能量柱为非作歹，擎天柱与战友飞赴月球，更从当年的飞船中救出了汽车人的先代领导者——御天敌。御天敌是能量柱的发明者，将上百根能量柱集合在一起便可制造太空桥，实现物质的瞬间传送。,1,932,变形金刚2/复仇者联盟/钢铁侠2/X战警3：背水一战/蝙蝠侠：黑暗骑士崛起/蜘蛛侠/铁甲钢拳/猩球崛起/金刚狼/源代码,68258,变形金刚/科幻/美国/3D/动作/2011/大片/IMAX,2148,241772,22502,3,1581,269,
超能游戏者,https://movie.douban.com/subject/6428516/,超能游戏者,超能游戏者Геймеры.Впоискахцели,2012,https://img3.doubanio.com/view/photo/photo/public/p1035233283.jpg,保罗·萨纳耶夫,保罗·萨纳耶夫/亚历山大·丘巴良,亚力克萨·巴杜科夫/谢尔盖·布鲁诺夫/阿格尼娅·蒂科夫斯特,动作/科幻/恐怖/犯罪/冒险,http://www.na-igre.ru,俄罗斯,俄语,2011-06-10(中国大陆),108分钟,像游戏一样杀人 / Gamers. In Search of the Target / Hooked on the Game / Hooked,http://www.imdb.com/title/tt1532382,5.5,3244,3.8%,14.0%,45.0%,28.2%,9.0%,14% 科幻片/12% 动作片,几个酷爱电子游戏的年轻人——吸血鬼季马、博士、大个子、蚊子、丽塔、马克西姆在电子游戏大赛中一举夺魁，大赛赞助商将该公司新开发的一款“反恐精英”游戏作为额外的奖品发给了他们。,,104,超能游戏者2/天际浩劫/拳皇/狂暴飞车/未来警察/街头霸王: 春丽传奇/驱魔者/魔兽战场/七龙珠/地牢围攻,1152,俄罗斯/科幻/动作/俄罗斯电影/暴力/2011/game/电影,59,4023,751,0,39,8,
百合的故事,https://movie.douban.com/subject/4910203/,百合的故事,雷锋的故事,2012,https://img3.doubanio.com/view/photo/photo/public/p2237755950.jpg,庞博,庞宝春/庞春云,庞舒妍,动画,,中国大陆,汉语普通话,,15分钟,,,2.7,2699,8.8%,0.2%,0.1%,0.8%,90.1%,,本部动画版《雷锋的故事》，以通俗易懂的表现手法和故事情节讲述了雷锋毫不利己专门利人的感人故事。出生于贫穷家庭的雷锋，小小年纪父母便相继去世，不得不寄人篱下。然而雷锋并没有悲观绝望，而是以满腔的热忱帮助了无数需要帮助的人。他不怕苦不怕累，在各种不同的工作岗位上干一行爱一行。终于，雷锋成长为了一名优秀的共产主义战士。在平凡的工作中，雷锋为社会主义、共产主义的事业奉献出了自己的全部力量。雷锋无私的奉献主义精神和感人事迹传遍了全国，成为人们心中的道德楷模。,,52,大嘴巴嘟嘟/戚继光英雄传/齐天大圣前传/心灵之窗/世博总动员/悟空大战二郎神/马拉松王子/福娃/象棋王/猪猪侠第四部：百变猪猪侠,1262,动画/国产/国产动画/无耻/中国/大陆/下流/中国动画,77,107,2762,,24,,
丁丁历险记,https://movie.douban.com/subject/2028669/,丁丁历险记,丁丁历险记TheAdventuresofTintin:TheSecretoftheUnicorn,2012,https://img3.doubanio.com/view/photo/photo/public/p1207755606.jpg,史蒂文·斯皮尔伯格,史蒂文·莫法特/埃德加·赖特/乔·考尼什/埃尔热,杰米·贝尔/安迪·瑟金斯/丹尼尔·克雷格/西蒙·佩吉/尼克·弗罗斯特/加利·艾尔维斯/托比·琼斯,动作/动画/悬疑/冒险,,美国 / 新西兰,英语,2011-11-15(中国大陆)/2011-12-21(美国),107分钟,丁丁历险记：独角兽号的秘密,http://www.imdb.com/title/tt0983193,7.6,84417,18.6%,47.4%,30.7%,2.9%,0.4%,51% 动画片/68% 冒险片,丁丁（杰米·贝尔 Jamie Bell 配音）和白雪的故事可以说是影响了不止一代人。在史蒂文·斯皮尔伯格和彼得·杰克逊的努力下，丁丁的故事终于被搬上了大银幕。这一次，丁丁因为一艘古老的船模，而开始了一次惊险的历险。这艘名为独角兽号的模型船，隐藏着一个海盗和财宝的故事。为了解开这个流传了几个世纪的秘密，丁丁和白雪一起不断寻找线索，找寻真相。在航海家阿道克船长（安迪·瑟金斯 Andy Serkis 饰）、笨手笨脚的侦探搭档杜庞（西蒙·佩吉 Simon Pegg 配音）与杜邦（尼克·弗罗斯特 Nick Frost 配音）以及白雪的帮助下，丁丁游历了半个地球，与恶棍萨卡林（丹尼尔·克雷格 Daniel Craig 配音）斗智斗勇。最终，丁丁终于找到了独角兽号隐藏的秘密，以及那一则古老的诅咒……,,392,功夫熊猫2/里约大冒险/无敌破坏王/玩具总动员3/驯龙高手/飞屋环游记/神偷奶爸/兰戈/疯狂原始人/怪兽电力公司,31130,动画/美国/3D/斯皮尔伯格/tintin/冒险/2011/喜剧,1520,102631,25631,1,355,95,
快乐童年,https://movie.douban.com/subject/26576666/,快乐童年,快乐童年,2012,https://img3.doubanio.com/view/photo/photo/public/movie-default-medium.gif,李宝生,何仲海/邱卓文/侯敏,胡奥/姜宇航/沈明阳,,,中国大陆,,,92,,,,,,,,,,,出品单位: 深圳市映象星光文化传播,,0,,0,,,,,0,0,0,
五月天追梦,https://movie.douban.com/subject/5985961/,五月天追梦,五月天追梦追夢3DNA,2012,https://img3.doubanio.com/view/photo/photo/public/p1020743577.jpg,孔玟燕/张荣吉,,陈信宏/刘冠佑/温尚翊/蔡升晏/石锦航/刘若英/任贤齐/林雪/周咏轩,剧情/爱情/纪录片/音乐,,中国大陆 / 台湾,汉语普通话,2011-09-23(中国大陆)/2011-09-15(台湾/香港),95分钟,5月天追梦,http://www.imdb.com/title/tt1864411,7.8,41290,37.5%,28.0%,23.6%,6.3%,4.6%,,这是五月天首次将自己的“变形 DNA 无限放大版”的全球巡回演唱会搬上了大银幕，并采用了3D技术。在这部以五月天演唱会为主线的电影里面，穿插了三个小故事：,,186,摇滚本事/5月天诺亚方舟/未来/11度青春之《老男孩》/五月之恋/里约大冒险/现场·战场·梦工厂/听说/海角七号/不能说的秘密,19876,五月天/演唱会/3D/梦想/音乐/台湾/励志/2011,431,50166,10006,0,561,85,
里约大冒险,https://movie.douban.com/subject/26253893/,里约大冒险,青蛙王国之冰冻大冒险,2012,https://img3.doubanio.com/view/photo/photo/public/p2315804919.jpg,常光希/彭飞,郑立国/彭飞,孙楠/石班瑜/姜瑰瑾/买宝瑶,喜剧/动画/冒险,,中国大陆,汉语普通话,2016-02-19(中国大陆),83分钟,,,5.1,499,14.7%,10.9%,19.4%,27.1%,27.9%,9% 冒险片/6% 动画片,自从上次蛇蛙大战后，蛙国又恢复了和平繁荣的生活。可是，和平的日子没持续多久，奇怪的事件又再降临青蛙王国。一张写着大祸即将降临青蛙王国的传单，散落在蛙国各地，关于“水晶青蛙”的传说正流传于民间。,6,72,年兽大作战/无敌小飞猪/顺风车/洛杉矶捣蛋计划/爱之初体验/爱情麻辣烫之情定终身/不能错过/我是奋青/恋爱教父之三个“坏”家伙/恭喜发财之谈钱说爱,446,青蛙王国/冒险/儿童/奇幻/喜剧/童话/成长/温情,,485,38,0,352,8,
